,OCCUPATIONID,PREFERREDLABEL,ALTLABELS,OCCUPATIONGROUPLABEL,OCCUPATIONGROUPID,SECTOR,SECTORID,SUBSECTOR,SUBSECTORID
14,985d1a441eae929c91d8dda5,faith healer,"curandero
folk healer
healer, faith
indigenous healer
medicine person
root doctor
shaman
spiritual healer
traditional healer",Religious associate professionals,687671b1ebd2bf665349a239,Health,cdeaa5b8-7328-46c5-91d4-791249d44276,Health,384e9f7d-4c21-474b-beba-cd3c911e9f1f
15,c08d95d445bb7ca6da7d2228,eligibility consultant,"benefits advisor
consultant, eligibility
eligibility assessor
eligibility screener
financial aid advisor
intake specialist
program eligibility officer
specialist, eligibility",Client information workers not elsewhere classified,687671b1ebd2bf665349a264,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
16,f04a9468978111ef659a556c,public writer,"administrative document writer
application writer
correspondence writer
ecrivain public
letter writer
personal document preparer
writer, public",Scribes and related workers,687671b1ebd2bf665349a273,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
17,293ffc3df0f0e6f698f472d2,press clipper,"article clipper
clipper, press
clippings assistant
media monitor
news clipper
print media monitor",Clerical support workers not elsewhere classified,687671b1ebd2bf665349a276,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
18,f0afcd41946ad49c1f349700,ferryboat conductor,"conductor, ferryboat
ferry attendant
ferry conductor
ferry passenger assistant
ferry ticket collector",Transport conductors,687671b1ebd2bf665349a27b,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
19,3bb316ab82021ffd44598487,hovercraft conductor,"conductor, hovercraft
hovercraft attendant
hovercraft steward",Transport conductors,687671b1ebd2bf665349a27b,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
20,9630940a97431ab83b0895c5,traditional medicine practitioner,"folk healer
herbalist
indigenous healer
spiritual healer
traditional medicine women
traditional doctor
traditional healer",Personal services workers not elsewhere classified,687671b1ebd2bf665349a28f,Health,cdeaa5b8-7328-46c5-91d4-791249d44276,Health,384e9f7d-4c21-474b-beba-cd3c911e9f1f
21,9f0d2430ece52c07d4ffaba4,party plan sales demonstrator,"consultant, party plan
home demonstrator
home party consultant
host, party plan
hostess, party plan
party sales representative
product demonstrator, home party
salesperson, party plan
social selling demonstrator",Sales demonstrators,687671b1ebd2bf665349a29c,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Other unspecified food products retail,6632f83b-bb75-4420-9112-47bc7d58fed5
22,d4cbbcd40d4eaaaa69aae0f2,online seller,"digital sales associate
e-commerce specialist
e-tailer
marketplace seller
online retailer
trader, ebay
web store manager",Sales workers not elsewhere classified,687671b1ebd2bf665349a2a1,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Retail trade in specialized stores,d250779f-a714-44fc-829b-9267d3e5be43
23,1dd65ce4d15ef3443b7cc9b0,field crop farmer,"agricultural crop producer
arable farmer
arboriculturist
commercial crop producer
crop farmer
crop producer
farmer, cereal
farmer, cereal: market production
farmer, corn
farmer, corn: market production
farmer, cotton
farmer, crop field crops
farmer, field crop
farmer, field crop (market production)
farmer, flax
farmer, grain
farmer, grain: market production
farmer, groundnut
farmer, groundnut: market production
farmer, jute
farmer, maize
farmer, maize: market production
farmer, potato
farmer, rice
farmer, rice: market production
farmer, soya-bean
farmer, sugar-beet
farmer, sugar-cane
farmer, tobacco
farmer, wheat
farmer, wheat: market production
field cropper
grower, potato
grower, soya-bean
grower, sugar-beet
grower, sugar-cane
planter, cotton
planter, sugar-cane
planter, tobacco
worker, farm: skilled (flax)
worker, farm: skilled (jute)
worker, plantation: skilled (cotton)",Field crop and vegetable growers,687671b1ebd2bf665349a2b4,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
24,204b74ed9b734eaa66a0dfd3,vegetable farmer,"farmer, field vegetable
farmer, field vegetable: (market production)
farmer, vegetable
farmer, vegetable: market production
field vegetable producer
horticultural farmer
market gardener
organic vegetable farmer
small-scale vegetable farmer
truck farmer
vegetable cultivator
vegetable grower",Field crop and vegetable growers,687671b1ebd2bf665349a2b4,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,"Vegetable, Fruit Production, Seedling and Plant Seeds",f3909023-1cdf-495e-9143-d1675c351934
25,1e00601f5bc266dca024eeae,shrub crop farmer,"berry farmer
budder-grafter, shrubs
bush fruit farmer
farmer, shrub crop
farmer, tea
grower, shrub crop
grower, tea
horticultural shrub farmer
perennial shrub grower
planter, tea
pruner, shrub: crops
tea cultivator
tea estate farmer
worker, farm: skilled (tea)
worker, plantation: skilled (shrub crop)
worker, plantation: skilled (tea",Tree and shrub crop growers,687671b1ebd2bf665349a2b5,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
26,bfceeb3bb38209f99fbd3937,tree crop farmer,"budder-grafter, fruit tree
commercial tree crop grower
farmer, cocoa
farmer, coconut
farmer, coffee
farmer, copra
farmer, fruit
farmer, hop
farmer, nut
farmer, orchard
farmer, rubber
farmer, tree crop
fruit tree grower
nut tree grower
orchardist
perennial crop farmer
plantation grower
planter, copra
pruner, fruit trees
tapper, maple: syrup
tapper, pine: resin
tapper, rubber
tapper, toddy
tree crop cultivator
worker, farm: skilled (cocoa)
worker, farm: skilled (coffee)
worker, farm: skilled (rubber)
worker, plantation: skilled (rubber)",Tree and shrub crop growers,687671b1ebd2bf665349a2b5,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
27,5b67fcc9886cf63e4d2fa465,vineyard farmer,"farmer, vineyard
farmer, viniculture
grape farmer
grape grower
vigneron
vine grower
viticulturist",Tree and shrub crop growers,687671b1ebd2bf665349a2b5,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
28,2f61c18dcb176aa28f74904c,flower farmer,"commercial flower grower
cut flower grower
floral grower
floriculturist
greenhouse flower grower
grower, bulbs: nursery
grower, carnation
grower, rose
grower, tulip","Gardeners, horticultural and nursery growers",687671b1ebd2bf665349a2b6,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Flower Cultivation,f011e96d-db33-499d-a146-a058058fae8a
29,a948156cbfabc51089e76dc6,mushroom farmer,"commercial mushroom grower
cultivator, mushroom
edible mushroom grower
fungal cultivator
grower, mushroom
indoor mushroom farmer
mushroom cultivation specialist
mushroom production technician
mycocultivator
worker, farm: skilled (mushroom)","Gardeners, horticultural and nursery growers",687671b1ebd2bf665349a2b6,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
30,784c6cf23e2b18aa864f4d82,nursery grower,"bedding plant grower
container plant grower
grower, seeds: nursery
grower, spices: nursery
horticultural technician (nursery)
ornamental plant grower
plant propagator
seedling grower
tree nursery grower","Gardeners, horticultural and nursery growers",687671b1ebd2bf665349a2b6,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,"Vegetable, Fruit Production, Seedling and Plant Seeds",f3909023-1cdf-495e-9143-d1675c351934
31,fdbf73bd9b8ab177af77fd2c,reed grower,"grower, osier
grower, reed
osier cultivator
reed farmer
thatch reed producer
willow grower","Gardeners, horticultural and nursery growers",687671b1ebd2bf665349a2b6,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
32,c2bfb4f50ebfc1fbe9dd91be,mixed crop farmer,"commercial mixed crop producer
diversified crop farmer
farmer, mixed crop
farmer, mixed crop: market production
mixed arable farmer
multi-crop farmer
smallholder mixed crop farmer",Mixed crop growers,687671b1ebd2bf665349a2b7,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Mixed agriculture,60b4f53a-9271-4288-8b93-8c7041fbde10
33,bf5e0bfbd41c0e2ed7601275,dairy farmer,"dairy cattle farmer
dairy farm operator
dairy producer
dairyman
milk producer
worker, farm: skilled (dairy)",Livestock and dairy producers,687671b1ebd2bf665349a2b9,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Animal Husbandry Development,237b6505-d5d7-4700-a681-5c953c366239
34,c5616596ef8d3a48105f195d,livestock farmer,"cattle farmer
dairy farmer
livestock farm manager
pig farmer
poultry farmer
producer, animals
rancher
sheep farmer
stock farmer",Livestock and dairy producers,687671b1ebd2bf665349a2b9,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Livestock development,456c4f27-79aa-423e-b7b4-0de4e9b516d2
35,1375958585c9bf52d4a2edf1,farm incubator operator,"egg incubation technician
hatching machine operator
operator, incubator: farm
poultry incubation operator",Poultry producers,687671b1ebd2bf665349a2ba,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
36,af25c0998156b50c4bba91dd,sericulturist,"farmer, sericulture
farmer, silk
farmer, silkworm raising
raiser, silkworm
sericulture specialist
sericulture technician
silk farm manager
silk grower
silkworm producer
worker, sericultural: skilled",Apiarists and sericulturists,687671b1ebd2bf665349a2bb,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Silk production,71d8405f-55da-4d87-800d-1f960e9ff028
37,45c0fea0afc01625174962d2,exotic animals breeder,"breeder, lion
breeder, reptile
breeder, snail
conservation breeder
farmer, crocodile
farmer, non-domesticated animals
farmer, ostrich
game animal breeder
invertebrate breeder
non-domestic animal breeder
raiser, ostrich
reptile farmer
specialty animal breeder
wild animal breeder
zoological breeder",Animal producers not elsewhere classified,687671b1ebd2bf665349a2bc,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Wildlife breeding,65ef4c92-1bb7-435e-a4f6-6e5ff7693705
38,c3ca118879c6ce50e6295490,charcoal burner,"burner, charcoal
charcoal kiln operator
charcoal maker
charcoal manufacturing worker
charcoal producer
wood carbonizer",Forestry and related workers,687671b1ebd2bf665349a2c1,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Forest development and related services,5c4bfc97-9601-479a-9607-53dd925e1b20
39,56b9f4675c7c163c41c2b8da,logging and timber harvesting worker,"chainsaw operator (logging)
climber, high: logging
cruiser, timber
cutter, pole and pile
cutter, railway tie
cutter, sleeper
delimber operator
driver, raft: logging
feller-bucker, tree
logger
maker, log-raft
marker, timber
marker, tree
rider, timber
scaler, log
skidder operator
stripper, cork bark
timber faller
topper, logging
woodcutter",Forestry and related workers,687671b1ebd2bf665349a2c1,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Log production,c1cbff87-d08e-4236-b66a-023f9824c346
40,bc1bc8fed6b98515cbc353c9,logging worker,"assembler, raft: logging
feller buncher operator
logger
lumberjack
processor operator
skidder operator
timber cutter
tree feller",Forestry and related workers,687671b1ebd2bf665349a2c1,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Log production,c1cbff87-d08e-4236-b66a-023f9824c346
41,780078daecb05478563701e2,fish farmer,"aquaculturalist
aquaculture farmer
aquaculture producer
farmer, fish
fish culturist
pisciculturist",Aquaculture workers,687671b1ebd2bf665349a2c3,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
42,da9f290d9878bbd24eb0e50c,oyster farmer,"farmer, oyster
oyster aquaculturist
oyster culturist
oyster grower
oysterman",Aquaculture workers,687671b1ebd2bf665349a2c3,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
43,593dde127be7cf4db8f516ee,seafood farmer,"aquaculture farmer
aquaculture operative
aquaculturist
farmer, seafood
fish farmer
mariculture farmer
shellfish farmer",Aquaculture workers,687671b1ebd2bf665349a2c3,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
44,614c0850fdccb892fff5214a,field crop subsistence farmer,"arable subsistence farmer
farmer, cereal: subsistence farming
farmer, field: crop (subsistence farming)
farmer, grain: subsistence farming
farmer, groundnut: subsistence farming
farmer, maize: subsistence farming
farmer, rice: subsistence farming
farmer, wheat: subsistence farming
food crop subsistence farmer
smallholder farmer",Subsistence crop farmers,687671b1ebd2bf665349a2c9,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
45,cd5210a1181cd610d45dd0ed,vegetable subsistence farmer,"backyard vegetable farmer
family vegetable farmer (subsistence)
farmer, field: vegetable (subsistence farming)
farmer, vegetable: subsistence farming
grower, vegetable: subsistence
home vegetable grower
kitchen garden farmer
non-commercial vegetable farmer
smallholder vegetable farmer
subsistence gardener",Subsistence crop farmers,687671b1ebd2bf665349a2c9,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
46,eb40d53a9392228936c780d9,livestock subsistence farmer,"backyard livestock keeper
family livestock farmer
farmer, cattle: subsistence
farmer, goat: subsistence farming
farmer, livestock: subsistence farming
farmer, mixed-animal: subsistence farming
farmer, pig: subsistence farming
farmer, sheep: subsistence farming
homestead livestock farmer
household animal raiser
smallholder livestock farmer",Subsistence livestock farmers,687671b1ebd2bf665349a2cb,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
47,c4854b0af82b2698d204c5b5,poultry subsistence farmer,"backyard poultry farmer
farmer, poultry
homestead poultry farmer
poultry keeper
subsistence poultry raiser
traditional poultry farmer
village poultry keeper",Subsistence livestock farmers,687671b1ebd2bf665349a2cb,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Breeding birds,76f31732-e2ee-4083-a699-7cd1365f2e8b
48,1d9406cf997e60b63495be8a,mixed crop subsistence farmer,"family farmer
farmer, mixed crop: subsistence farming
farmer, mixed: subsistence
farmer, subsistence
polyculture farmer
self-sufficient farmer
smallholder farmer
subsistence crop producer",Subsistence mixed crop and livestock farmers,687671b1ebd2bf665349a2cd,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Mixed agriculture,60b4f53a-9271-4288-8b93-8c7041fbde10
49,2daf0544bb1575d06826cdda,subsistence collector,"collector, subsistence
forager
gatherer, subsistence
natural resource gatherer (subsistence)
subsistence forager
wild food gatherer
wild plant gatherer","Subsistence fishers, hunters, trappers and gatherers",687671b1ebd2bf665349a2cf,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
50,d808a08b06951bb88493bc92,subsistence fisherman,"artisanal fisherman
fisherman, subsistence fishing
small-scale fisher
traditional fisherman","Subsistence fishers, hunters, trappers and gatherers",687671b1ebd2bf665349a2cf,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Fish breeding related development jobs,98482c0b-ff6c-48ac-a9c9-ce34ecb0184b
51,25654dc38394e45e35d61654,subsistence food gatherer,"bush food gatherer
forager
gatherer, food
gatherer, subsistence
traditional forager
wild edibles collector
wild food gatherer
wild plant collector","Subsistence fishers, hunters, trappers and gatherers",687671b1ebd2bf665349a2cf,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
52,8e4f36cdc7ecf58c95594dd2,pool installer,"hot tub installer
installer, pool
pool builder
pool construction worker
spa installer
swimming pool builder
swimming pool construction worker
swimming pool installer",Building frame and related trades workers not elsewhere classified,687671b1ebd2bf665349a2d8,Construction,bab7a59e-df88-44cc-b3b7-a7f17645593b,Building finishing works,5f6bb344-50a9-4145-8801-6ca919b651b9
53,fbdd8d8469318029f645902e,structural metal marker,"layout fitter
loft worker
mark-off worker
marker, structural metal
metal layout worker
steel layout marker",Structural-metal preparers and erectors,687671b1ebd2bf665349a2ea,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Manufacture of metal products, tanks, reservoirs used for structure",6b74d377-da6e-4da0-a7aa-7fb56d0c2c69
54,1303e7179be03d541633706d,artificial flower maker,"fabric flower maker
faux flower maker
floral crafter
handmade flower artisan
maker, artificial flower
paper flower maker
silk flower maker","Handicraft workers in textile, leather and related materials",687671b1ebd2bf665349a2ff,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacturing of Entertainment items,2e164419-7b9e-47c4-8ad5-c9fedccfbf24
55,19f6ad5c03b1d2619e4e484b,textile fibre preparer,"bleacher, fibre: textile
carder, fibre: textile
classer, fibre: textile
comber, fibre: textile
cotton preparer
fiber preparer
scourer, fibre: textile
wool preparer","Handicraft workers in textile, leather and related materials",687671b1ebd2bf665349a2ff,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Preparation of textile stripes; Spinning and weaving,e0be7bdd-d116-4543-8184-6761908bab25
56,af0df24f6f48120bdb8d2a90,wool scourer,"fleece scourer
fleece washer
raw wool preparer
scourer, wool
wool cleaner
wool washer","Handicraft workers in textile, leather and related materials",687671b1ebd2bf665349a2ff,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Preparation of textile stripes; Spinning and weaving,e0be7bdd-d116-4543-8184-6761908bab25
57,a168ae2988ec04bdd4ddcab5,bead accessories maker,"bead artisan
beader
beadwork crafter
costume jewellery maker
fashion jewellery maker
handmade jewellery maker
maker, bead belts
maker, bead necklace/synthetic
maker, metallic necklace/traditional",Handicraft workers not elsewhere classified,687671b1ebd2bf665349a300,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacturing of Entertainment items,2e164419-7b9e-47c4-8ad5-c9fedccfbf24
58,5bfaa2b274354aca23684af0,bone articles maker,"bone carver
bone craftsman
handicraft worker, bone articles
horn carver
scrimshaw artist",Handicraft workers not elsewhere classified,687671b1ebd2bf665349a300,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Another unmentioned factory works,
59,8178bbab41326b1d6206cbf8,weed controller,"controller, weed
herbicide applicator
vegetation management technician
weed control technician
weed specialist",Fumigators and other pest and weed controllers,687671b1ebd2bf665349a324,agriculture,f2d96afd-c6da-4209-a2a3-ead87248888c,Agriculture,fde126df-5faf-472c-9b6b-9f88951c9547
60,ea4da078a4ef36c1d6463af5,florist,"arranger, flower
floral artist
floral designer
florist, arranging flowers
flower stylist",Craft and related workers not elsewhere classified,687671b1ebd2bf665349a325,Business,4e291563-4d6b-4b3d-bac3-32cce11b0911,Retail trade in specialized stores,d250779f-a714-44fc-829b-9267d3e5be43
61,2df10a9535c15b1c1942cf46,metal grading and sorting operator,"classifier, aluminum
metal classification operator
metal grader
metal material sorter
metal sorter
operator, uranium classifier
scrap metal sorter",Metal processing plant operators,687671b1ebd2bf665349a32e,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Converting metal scraps and scraps into useful products,e5ff165a-c856-4172-9ffd-c853e269472f
62,974042e5927e2c21aecceb49,metal refining operator,"electrolysis operator, metal
furnace operator, refining
primary refiner
refiner, copper
refiner, lead
refiner, metal
refiner, steel
refining process operator
secondary refiner
smelter operator",Metal processing plant operators,687671b1ebd2bf665349a32e,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Converting metal scraps and scraps into useful products,e5ff165a-c856-4172-9ffd-c853e269472f
63,4cd9ce9bccbf05f41ae0dc67,food sterilising machine operator,"autoclave operator (food processing)
cannery sterilizer operator
food sterilization machine operator
operator, machine: sterilising (fruit)
operator, machine: sterilising (vegetables)
retort operator
sterilizer operator
thermal processing operator
uht processing operator",Food and related products machine operators,687671b1ebd2bf665349a341,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Manufacture of food, beverage and tobacco processing equipment",21309ffc-39f3-408d-95cc-e428bfe87238
64,f35fd8dfdf3bd656392cfdce,tea processing machine operator,"operator, machine: tea-leaf processing
tea dryer operator
tea factory machine operator
tea machine operator
tea packaging machine operator
tea processing plant operator
tea production machine operator
tea sorter operator",Food and related products machine operators,687671b1ebd2bf665349a341,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,"Manufacture of food, beverage and tobacco processing equipment",21309ffc-39f3-408d-95cc-e428bfe87238
65,ff039cf46c14e9a0ff3e4cc1,stationery manufacturing machine operator,"envelope machine operator
machine operator, stationery
notebook machine operator
operator, machine: pencil production
paper converting machine operator
pencil machine operator
stationery production operator
writing instrument machine operator",Stationary plant and machine operators not elsewhere classified,687671b1ebd2bf665349a349,Manufacturing,78fb9a0d-2ccf-40e0-9f2d-de4cae441762,Manufacture of paper and paper products,ec4b5f9d-ff72-4b28-a75c-4fb720b5d714
66,c60fd3c755b50c4eee5eb9fa,motorcycle driver,"auto rickshaw driver
bajaj driver
driver, motor tricycle
driver, rickshaw: motorized
driver, tricycle: motorized
moped driver
motorcycle taxi driver
pillion driver
scooter driver
tuk-tuk driver",Motorcycle drivers,687671b1ebd2bf665349a354,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Road freight service,50cd88cf-c4fa-4a46-9268-a94fd2f91d11
67,a34ea1ed343c06e8eeec1e1b,canal lock operator,"keeper, lock: canal or port
lock attendant
lock master
lock tender
operator, lock: canal or port
operator, sluice: dock
sluice gate operator
sluice man, dock
sluice woman, dock","Crane, hoist and related plant operators",687671b1ebd2bf665349a35c,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
68,56e0eac08f8131209b1f60f9,ferry driver,"boatman
driver, ferry
ferry captain
ferry master
ferry operator",Ships’ deck crews and related workers,687671b1ebd2bf665349a35f,"Logistics, transportation and communication",fe939258-deb3-46d1-bb48-c3fc351f21f0,Domestic water transport,ef0a1e04-8c95-432a-9cd1-b97c55a26c81
69,687671c0ebd2bf665349dc7c,air force officer,"royal airforce officer
flight lieutenant
flight officer
air commodore
air force officer
military group captain
command and control officer
pilot officer
squadron leader
swift officer",Commissioned armed forces officers,687671b1ebd2bf665349a12b,Industry Development,4f977675-fdb7-430c-bd45-7cffc7149ac9,Defense,77c87dd8-8758-43db-ba9f-29955f8e4d9f
