,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
136,687671b4ebd2bf665349a6b9,assume responsibility for maintaining a safe ship environment,complying with health and safety procedures,687671b3ebd2bf665349a525
137,687671b4ebd2bf665349a6ba,follow hygienic practices in fishery operations,complying with health and safety procedures,687671b3ebd2bf665349a525
138,687671b4ebd2bf665349a6bb,supervise work on design planning,directing operational activities,687671b3ebd2bf665349a56b
139,687671b4ebd2bf665349a6bc,measure trees,measuring dimensions and related properties,687671b3ebd2bf665349a4ca
140,687671b4ebd2bf665349a6bd,bend staves,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
141,687671b4ebd2bf665349a6be,select music for performance,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
142,687671b4ebd2bf665349a6bf,geological mapping,earth sciences,687671b2ebd2bf665349a416
143,687671b4ebd2bf665349a6c0,tend electron beam welding machine,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
144,687671b4ebd2bf665349a6c1,ensure infrastructure accessibility,designing structures or facilities,687671b3ebd2bf665349a5a7
145,687671b4ebd2bf665349a6c2,inspect table settings,serving food and drinks,687671b3ebd2bf665349a4be
146,687671b4ebd2bf665349a6c3,drive automatic car,driving light vehicles,687671b3ebd2bf665349a5f5
147,687671b4ebd2bf665349a6c4,prepare intravenous packs,"prescribing and ordering medical tests, treatments or devices",687671b3ebd2bf665349a5b3
148,687671b4ebd2bf665349a6c5,configure electronic equipment,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
149,687671b4ebd2bf665349a6c6,Erlang,software and applications development and analysis,687671b3ebd2bf665349a426
150,687671b4ebd2bf665349a6c7,operate specialised equipment in emergency,operating medical equipment,687671b3ebd2bf665349a56a
151,687671b4ebd2bf665349a6c8,plan retail space,designing structures or facilities,687671b3ebd2bf665349a5a7
152,687671b4ebd2bf665349a6c9,write leaflets,artistic and creative writing,687671b3ebd2bf665349a4ad
153,687671b4ebd2bf665349a6ca,use jewellery equipment,using precision hand tools,687671b3ebd2bf665349a519
154,687671b4ebd2bf665349a6cb,taste wines,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
155,687671b4ebd2bf665349a6cc,manufacturing of taps and valves,community sanitation,687671b3ebd2bf665349a47b
156,687671b4ebd2bf665349a6cd,check sensorial parameters of oils and fats,"monitoring, inspecting and testing",687671b3ebd2bf665349a516
157,687671b4ebd2bf665349a6ce,maintain coquille parts,"joining parts using soldering, welding or brazing techniques",687671b3ebd2bf665349a4cd
158,687671b4ebd2bf665349a6cf,understand spoken Hungarian,,
159,687671b4ebd2bf665349a6d0,schedule maintenance of airport electrical systems,planning events and programmes,687671b3ebd2bf665349a5de
160,687671b4ebd2bf665349a6d1,provide pre-hospital emergency care of trauma,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
161,687671b4ebd2bf665349a6d2,history of tobacco,history and archaeology,687671b2ebd2bf665349a3d3
162,687671b4ebd2bf665349a6d3,carry out event management,planning events and programmes,687671b3ebd2bf665349a5de
163,687671b4ebd2bf665349a6d4,understand spoken Welsh,,
164,687671b4ebd2bf665349a6d5,manage ICT data classification,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
165,687671b4ebd2bf665349a6d6,keep sheet records,maintaining operational records,687671b3ebd2bf665349a498
166,687671b4ebd2bf665349a6d7,brush rubber cement,smoothing surfaces of objects or equipment,687671b3ebd2bf665349a513
167,687671b4ebd2bf665349a6d8,develop leather goods collection,"designing industrial materials, systems or products",687671b3ebd2bf665349a5c7
168,687671b4ebd2bf665349a6d9,create solutions to problems,developing solutions,687671b3ebd2bf665349a5a1
169,687671b4ebd2bf665349a6da,analyse cultural trends,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
170,687671b4ebd2bf665349a6db,assess cage water quality,testing and analysing substances,687671b3ebd2bf665349a5e2
171,687671b4ebd2bf665349a6dc,understand the architecture of a live performance,creating artistic designs or performances,687671b3ebd2bf665349a59f
172,687671b4ebd2bf665349a6dd,apply electrolytes to cathodes and anodes,preparing industrial materials for processing or use,687671b3ebd2bf665349a55b
173,687671b4ebd2bf665349a6de,hair cutting techniques,hair and beauty services,687671b3ebd2bf665349a474
174,687671b4ebd2bf665349a6df,manage claim files,managing information,687671b3ebd2bf665349a4e2
175,687671b4ebd2bf665349a6e0,rescue animals,maintaining and enforcing physical security,687671b3ebd2bf665349a60f
176,687671b4ebd2bf665349a6e1,guide ships into docks,operating watercraft,687671b3ebd2bf665349a4ec
177,687671b4ebd2bf665349a6e2,criminology,sociology and cultural studies,687671b2ebd2bf665349a3e8
178,687671b4ebd2bf665349a6e3,information structure,database and network design and administration,687671b3ebd2bf665349a425
179,687671b4ebd2bf665349a6e4,climate smart agriculture,crop and livestock production,687671b3ebd2bf665349a44a
180,687671b4ebd2bf665349a6e5,test materials,testing and analysing substances,687671b3ebd2bf665349a5e2
181,687671b4ebd2bf665349a6e6,update message displays,providing information to the public and clients,687671b3ebd2bf665349a5e6
182,687671b4ebd2bf665349a6e7,operate a forecourt site,management skills,687671b3ebd2bf665349a4c1
183,687671b4ebd2bf665349a6e8,unload cargo,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
184,687671b4ebd2bf665349a6e9,photogrammetry,architecture and town planning,687671b3ebd2bf665349a43f
185,687671b4ebd2bf665349a6ea,interact with programmer on intention of consultancy work,collaborating and liaising,687671b3ebd2bf665349a5a3
186,687671b4ebd2bf665349a6eb,communicate gambling rules,presenting general information,687671b3ebd2bf665349a5db
187,687671b4ebd2bf665349a6ec,control train departures,planning production processes,687671b3ebd2bf665349a60a
188,687671b4ebd2bf665349a6ed,manipulate dental material,fabricating medical and prosthetic devices,687671b3ebd2bf665349a4ef
189,687671b4ebd2bf665349a6ee,forensic pathology,medicine,687671b3ebd2bf665349a45d
190,687671b4ebd2bf665349a6ef,manage temporary ICT networks for live performance,setting up computer systems,687671b3ebd2bf665349a627
191,687671b4ebd2bf665349a6f0,techniques of blood-sampling,nursing and midwifery,687671b3ebd2bf665349a45e
192,687671b4ebd2bf665349a6f1,hygiene in a health care setting,occupational health and safety,687671b3ebd2bf665349a47c
193,687671b4ebd2bf665349a6f2,design beer recipes,developing recipes or menus,687671b3ebd2bf665349a4e3
194,687671b4ebd2bf665349a6f3,finish plastic products,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
195,687671b4ebd2bf665349a6f4,keep up with digital transformation of industrial processes,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
196,687671b4ebd2bf665349a6f5,advise others,supporting others,687671b3ebd2bf665349a560
197,687671b4ebd2bf665349a6f6,perform manual spiral binding,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
198,687671b4ebd2bf665349a6f7,place orders for orthopedic products,purchasing goods or services,687671b3ebd2bf665349a534
199,687671b4ebd2bf665349a6f8,interact verbally in Bosnian,,
200,687671b4ebd2bf665349a6f9,emboss designs,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
201,687671b4ebd2bf665349a6fa,monitor flour unloading equipment,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
202,687671b4ebd2bf665349a6fb,maintain statutory books,recording legal information,687671b3ebd2bf665349a5b7
203,687671b4ebd2bf665349a6fc,wash the laundry,washing and maintaining textiles and clothing,687671b3ebd2bf665349a4c8
204,687671b4ebd2bf665349a6fd,organise homecare for patients,assisting people to access services,687671b3ebd2bf665349a4d3
205,687671b4ebd2bf665349a6fe,load cargo,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
206,687671b4ebd2bf665349a6ff,deliver case notes,maintaining or preparing medical documentation,687671b3ebd2bf665349a5c3
207,687671b4ebd2bf665349a700,check quality of enamel,"evaluating systems, programmes, equipment and products",687671b3ebd2bf665349a61c
208,687671b4ebd2bf665349a701,monasticism,religion and theology,687671b2ebd2bf665349a3d2
209,687671b4ebd2bf665349a702,understand written Latvian,,
210,687671b4ebd2bf665349a703,trim excess materials,cutting materials and drilling holes,687671b3ebd2bf665349a543
211,687671b4ebd2bf665349a704,respond to changing situations in health care,,
212,687671b4ebd2bf665349a705,write Finnish,,
213,687671b4ebd2bf665349a706,tend drying equipment,"operating kilns, furnaces and drying equipment",687671b3ebd2bf665349a5bc
214,687671b4ebd2bf665349a707,manage freight payment methods,executing financial transactions,687671b3ebd2bf665349a5c5
215,687671b4ebd2bf665349a708,keep food laboratory inventory,allocating and controlling physical resources,687671b3ebd2bf665349a623
216,687671b4ebd2bf665349a709,tramway regulations,transport services,687671b3ebd2bf665349a484
217,687671b4ebd2bf665349a70a,rehabilitate worn dentition,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
218,687671b4ebd2bf665349a70b,coordinate flight schedules,planning events and programmes,687671b3ebd2bf665349a5de
219,687671b4ebd2bf665349a70c,understand spoken Punjabi,,
220,687671b4ebd2bf665349a70d,embargo regulations,law,687671b2ebd2bf665349a401
221,687671b4ebd2bf665349a70e,set up office equipment,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
222,687671b4ebd2bf665349a70f,advise on bankruptcy proceedings,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
223,687671b4ebd2bf665349a710,sell processed timber in a commercial environment,selling products or services,687671b3ebd2bf665349a5fc
224,687671b4ebd2bf665349a711,provide technical documentation,"documenting technical designs, procedures, problems or activities",687671b3ebd2bf665349a584
225,687671b4ebd2bf665349a712,slaughter animals,"hunting, trapping and slaughtering animals",687671b3ebd2bf665349a4f5
226,687671b4ebd2bf665349a713,develop policies for nutritional programs,developing policies and legislation,687671b3ebd2bf665349a57c
227,687671b4ebd2bf665349a714,perform live,performing artistic or cultural activities,687671b3ebd2bf665349a4f2
228,687671b4ebd2bf665349a715,teach nursing principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
229,687671b4ebd2bf665349a716,take advantage of learning opportunities in veterinary science,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
230,687671b4ebd2bf665349a717,support harmed social service users,providing support to resolve problems,687671b3ebd2bf665349a629
231,687671b4ebd2bf665349a718,SAS language,software and applications development and analysis,687671b3ebd2bf665349a426
232,687671b4ebd2bf665349a719,use an application-specific interface,working with computers,687671b3ebd2bf665349a4f1
233,687671b4ebd2bf665349a71a,design electrical systems,designing electrical or electronic systems or equipment,687671b3ebd2bf665349a4f4
234,687671b4ebd2bf665349a71b,weld in hyperbaric conditions,"joining parts using soldering, welding or brazing techniques",687671b3ebd2bf665349a4cd
235,687671b4ebd2bf665349a71c,weigh shipments,weighing,687671b3ebd2bf665349a529
236,687671b4ebd2bf665349a71d,operate concrete casting machine,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
237,687671b4ebd2bf665349a71e,promote fitness customer referral,"promoting products, services, or programs",687671b3ebd2bf665349a616
238,687671b4ebd2bf665349a71f,audit contractors,analysing financial and economic data,687671b3ebd2bf665349a5ef
239,687671b4ebd2bf665349a720,fish grading,fisheries,687671b3ebd2bf665349a450
240,687671b4ebd2bf665349a721,carry out inventory planning,planning events and programmes,687671b3ebd2bf665349a5de
241,687671b4ebd2bf665349a722,prepare energy performance contracts,technical or academic writing,687671b3ebd2bf665349a53d
242,687671b4ebd2bf665349a723,pass on trade techniques,training on operational procedures,687671b3ebd2bf665349a539
243,687671b4ebd2bf665349a724,treat animals ethically,complying with operational procedures,687671b3ebd2bf665349a559
244,687671b4ebd2bf665349a725,define firewall rules,protecting ict devices,687671b3ebd2bf665349a4b7
245,687671b4ebd2bf665349a726,continuous improvement philosophies,management and administration,687671b2ebd2bf665349a3fa
246,687671b4ebd2bf665349a727,otorhinolaryngologic conditions,medicine,687671b3ebd2bf665349a45d
247,687671b4ebd2bf665349a728,prepare livestock for artificial insemination,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
248,687671b4ebd2bf665349a729,operate production drilling machine,"operating mining, drilling and mineral processing machinery",687671b3ebd2bf665349a59b
249,687671b4ebd2bf665349a72a,carry out quality control in microbiology laboratories,operating scientific and laboratory equipment,687671b3ebd2bf665349a553
250,687671b4ebd2bf665349a72b,operate warehouse record systems,maintaining operational records,687671b3ebd2bf665349a498
251,687671b4ebd2bf665349a72c,examine geochemical samples,testing and analysing substances,687671b3ebd2bf665349a5e2
252,687671b4ebd2bf665349a72d,restore upholstery of classic cars,assembling furniture,687671b3ebd2bf665349a52f
253,687671b4ebd2bf665349a72e,supervise medical office support workers,supervising a team or group,687671b3ebd2bf665349a59d
254,687671b4ebd2bf665349a72f,follow detailed procedures for relocating specific goods,following instructions and procedures,687671b3ebd2bf665349a520
255,687671b4ebd2bf665349a730,cut tobacco leaves,cutting materials and drilling holes,687671b3ebd2bf665349a543
256,687671b4ebd2bf665349a731,materials in porcelain manufacturing,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
257,687671b4ebd2bf665349a732,remove road surface,"hammering, nailing and riveting",687671b3ebd2bf665349a5af
258,687671b4ebd2bf665349a733,types of cargo,"travel, tourism and leisure",687671b3ebd2bf665349a477
259,687671b4ebd2bf665349a734,knitting machine technology,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
260,687671b4ebd2bf665349a735,depurate shellfish,tending and breeding aquatic animals,687671b3ebd2bf665349a605
261,687671b4ebd2bf665349a736,provide humanitarian aid,providing health care or medical treatments,687671b3ebd2bf665349a49e
262,687671b4ebd2bf665349a737,accept criticism and guidance,demonstrating willingness to learn,687671b3ebd2bf665349a621
263,687671b4ebd2bf665349a738,provide pre-treatment information,,
264,687671b4ebd2bf665349a739,CryEngine,audio-visual techniques and media production,687671b2ebd2bf665349a3ca
265,687671b4ebd2bf665349a73a,organise rehearsals,planning events and programmes,687671b3ebd2bf665349a5de
