informal work in eng,SECTOR,SUBSECTOR
Adapted Physical Education Teacher,Education,other
Addiction Psychiatrist,Health,Health
Coordinator,Service,Other services
Teaching Assistant,Education,other
Business Manager,Business,Wholesale business in specialized stores
Adhesive Bonding Machine Operator,Manufacturing,Manufacture of paper and paper products
Admin and Finance Specialist,Service,Finance and Administration Services
Administrator,Service,Other services
Admin and Finance Associate,Service,Finance and Administration Services
Admin and Finance Manager,Service,Finance and Administration Services
Admin and HR Officer,Service,Employment agencies and recruitment agencies
Admin and Operations Assistant,Service,Other services
Admin Assistant,Service,Other services
Administrative Assistant,Service,Other services
Administrative Officer,Service,Other services
Administrative Secretary,Service,Other services
Procurement Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Data Management Officer,ICT and digital work,Database organization and data processing
Finance Assistant,Business,Wholesale business in specialized stores
Human Resources Supervisor,Service,Employment agencies and recruitment agencies
Competency Assessment Specialist,Service,Other services
Administration Manager,Service,Finance and Administration Services
Executive Secretary,Service,Finance and Administration Services
Administrative Court Judge,Service,Other services
Data Quality Coordinator,Service,Other services
Administrative Law Judge,Service,Other services
Administrative Services Manager,Service,Finance and Administration Services
Statistician,Service,Other services
Registrar,Service,Finance and Administration Services
Admissions Consultant,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Admissions Manager,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Motion Graphics Designer,ICT and digital work,Software Design Development and Implementation Works
Digital Artist,ICT and digital work,Software Design Development and Implementation Works
UX Designer,ICT and digital work,Software Design Development and Implementation Works
Sexual and Reproductive Health Advisor,Health,Health
Public Health Nutritionist,Health,Health
Community Outreach Coordinator,Service,Social work services
Adult Education Specialist,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Hematologist,Health,Health
Critical Care Physician,Health,Health
Adult Education Instructor,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Nephrologist,Health,Health
Psychiatric Nurse Practitioner,Health,Health
Registered Nurse,Health,Health
Copywriter,Service,Advertising
Advertising Manager,Service,Advertising
Advertising and Promotions Manager,Service,Advertising
Printing Machine Operator,Manufacturing,Electronic printing
Advertising Professional,Service,Advertising
Advertising Sales Agent,Service,Advertising
Advisor,Service,Other services
Community Intervention Specialist,Service,Social work services
Gender and Livelihood Advisor,Service,Other services
Health Advisor,Health,Health
Policy Advisor,Service,Other services
Agriculture Policy Advisor,agriculture,Agriculture
Early Childhood Education Advisor,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Adolescent and Youth Sexual Reproductive Health Advisor,Health,Health
Business Advisor,Service,Business Promotion Service
Land Governance Education Advisor,Service,Other services
Gender and Peace Advisor,Service,Other services
Organization Development Advisor,Service,Other services
Rural Development Advisor,Service,Other services
Sustainable Energy Advisor,Economic Infrastructure,Energy
Executive Advisor,Service,Other services
Digital Governance Advisor,ICT and digital work,Software Design Development and Implementation Works
Sexual Reproductive Health Advisor,Health,Health
Project Advisor,Service,Other services
Public Health Emergency Management Advisor,Health,Health
Conflict Sensitivity Advisor,Service,Other services
Advocacy Advisor,Service,Other services
Advocacy and Communication Coordinator,Service,Advertising
Advocacy and Communication Manager,Service,Advertising
Advocacy and Communications Coordinator,Service,Advertising
Advocacy Officer,Service,Advertising
Communications Director,Service,Advertising
Fitness Trainer,Service,Sports Services
Aerobics Trainer,Service,Sports Services
Air Traffic Controller,"Logistics, transportation and communication",Other supportive transportation services
Aerodrome Inspector,"Logistics, transportation and communication",Other supportive transportation services
Aviation Safety Director,"Logistics, transportation and communication",Other supportive transportation services
Aviation Safety Manager,"Logistics, transportation and communication",Other supportive transportation services
Aeronautical Information Officer,"Logistics, transportation and communication",Other supportive transportation services
Aeronautical Information Director,"Logistics, transportation and communication",Other supportive transportation services
Flight Planning Officer,"Logistics, transportation and communication",Other supportive transportation services
Aeronautical Communication Specialist,"Logistics, transportation and communication",Other supportive transportation services
Aeronautical Information Manager,"Logistics, transportation and communication",Other supportive transportation services
Aeronautical Information Inspector,"Logistics, transportation and communication",Other supportive transportation services
Aviation Services Manager,"Logistics, transportation and communication",Other supportive transportation services
Aviation Meteorology Inspector,"Logistics, transportation and communication",Other supportive transportation services
Aerospace Engineer,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Aerospace Engineering Technician,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Teacher,Service,Primary and secondary education
News Anchor,Service,Commercial Broadcast Service
Scriptwriter,Service,Media programming
Audio and Video Editor,Service,Media programming
Translator,Service,Other services
Voice Actor,Service,Media programming
Language Teacher,Service,Short-term language training and education
Software Test Engineer,ICT and digital work,Software Design Development and Implementation Works
Customer Support Representative,Service,Other services
Production Manager,Manufacturing,Another unmentioned factory works
Transcriber,Service,Other services
Secretary,Service,Finance and Administration Services
Simultaneous Interpreter,Service,Other services
Course Instructor,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Aftermarket Manager,Business,Vehicle spare parts and accessories retail trade
Banking Officer,Service,Finance and Administration Services
Receptionist,Service,Finance and Administration Services
Marketing Officer,Service,Advertising
Business Development Officer,Service,Business Promotion Service
Distributor,Business,Wholesale business in specialized stores
Recruitment Officer,Service,Employment agencies and recruitment agencies
Sales Support Officer,Business,Wholesale business in specialized stores
Property Manager,Service,Estimating the cost of housing sales and collecting rental income
Contracts Administrator,Service,Finance and Administration Services
Agribusiness Specialist,agriculture,Agriculture
Agricultural Advisor,agriculture,Agriculture
Agricultural By-Product Specialist,agriculture,Agriculture
Conservation Officer,Service,"Conservation of plants, animals and nature attractions"
Agricultural Supply Specialist,agriculture,Agriculture
Animal Resource Development Specialist,agriculture,Animal Husbandry Development
Crop Development Specialist,agriculture,Agriculture
Agricultural Extension Specialist,agriculture,Agriculture
Horticulture Specialist,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
Agricultural Development Worker,agriculture,Agriculture
Agricultural Engineer,agriculture,Agriculture
Agricultural Equipment Specialist,agriculture,Agriculture
Regulatory Inspector,Service,Inspection
Agricultural Sales Manager,Business,Wholesale of agricultural products for raw materials
Agricultural Inspector,Service,Inspection
Agricultural Market Analyst,agriculture,Agriculture
Agricultural Development Officer,agriculture,Agriculture
Agricultural Machinery Technician,agriculture,Agriculture
Agricultural Mechanization Expert,agriculture,Agriculture
Agricultural Mechanization Engineer,agriculture,Agriculture
Agricultural Quality Control Specialist,agriculture,Agriculture
Agricultural Mechanization Specialist,agriculture,Agriculture
Quality Control Specialist,Manufacturing,Another unmentioned factory works
Agricultural Operations Manager,agriculture,Agriculture
Agricultural Policy Advisor,agriculture,Agriculture
Agricultural Marketing Specialist,agriculture,Agriculture
Agricultural Production Supervisor,agriculture,Agriculture
Export Marketing Specialist,Business,Wholesale of agricultural products for raw materials
Agricultural Statistician,agriculture,Agriculture
Weighing Worker,Service,Other services
Agricultural Professional,agriculture,Agriculture
"Agricultural Sciences Teacher, Postsecondary",Education,other
Agricultural Training Specialist,agriculture,Agriculture
Agricultural Education Specialist,agriculture,Agriculture
Agricultural Technician,agriculture,Agriculture
Agricultural Trainer,agriculture,Agriculture
Agricultural Worker,agriculture,Agriculture
Feed Management Specialist,agriculture,Animal Husbandry Development
Zootechnical Expert,agriculture,Animal Husbandry Development
Agricultural Specialist,agriculture,Agriculture
Agriculture and Horticulture Officer,agriculture,Agriculture
Agriculture Technical Advisor,agriculture,Agriculture
Agriculture Project Officer,agriculture,Agriculture
Business Proposal Writer,Service,Other services
Agriculture Consultant,agriculture,Agriculture
Content Writer,Service,Other services
Agricultural Mechanization Consultant,agriculture,Agriculture
Agriculture Officer,agriculture,Agriculture
Sourcing Director,Business,Wholesale of agricultural products for raw materials
Agricultural Surveyor,agriculture,Agriculture
Agriculture Teacher,Education,other
Agriculture Technician,agriculture,Agriculture
"Agriculture, Economics and Mathematics Teacher",Education,other
Greenhouse Gas Verification Expert,Service,Inspection
Monitoring and Evaluation Officer,Service,Other services
Monitoring and Evaluation Expert,Service,Other services
Climate Change Mitigation Monitoring Expert,Service,Other services
Agricultural Economist,agriculture,Agriculture
Agricultural Mechanic,agriculture,Agriculture
Agro-Industrial Specialist,Industry Development,Agro processing
Agrometeorologist,agriculture,Agriculture
Agronomist,agriculture,Agriculture
Agribusiness Development Manager,agriculture,Agriculture
Agronomy Advisor,agriculture,Agriculture
Agronomy Program Manager,agriculture,Agriculture
Agronomy Supervisor,agriculture,Agriculture
Agro-Processing Executive,Industry Development,Agro processing
Air Conditioning and Refrigeration Technician,Service,Equipment and machine installation and maintenance service
Air Crew,"Logistics, transportation and communication",Other supportive transportation services
Air Navigation Specialist,"Logistics, transportation and communication",Other supportive transportation services
Air Navigation Regulation Director,"Logistics, transportation and communication",Other supportive transportation services
Dangerous Goods Inspector,"Logistics, transportation and communication",Other supportive transportation services
Flight Operations Inspector,"Logistics, transportation and communication",Other supportive transportation services
Ground Handling and Dangerous Goods Chief,"Logistics, transportation and communication",Other supportive transportation services
Cabin Safety Inspector,"Logistics, transportation and communication",Other supportive transportation services
Aircrew Program Manager,"Logistics, transportation and communication",Other supportive transportation services
Air Operator Certification Director,"Logistics, transportation and communication",Other supportive transportation services
Drone Inspector,"Logistics, transportation and communication",Other supportive transportation services
Flight Attendant Inspector,"Logistics, transportation and communication",Other supportive transportation services
Flight Operations Chief,"Logistics, transportation and communication",Other supportive transportation services
Ground Operations Inspector,"Logistics, transportation and communication",Other supportive transportation services
Air Quality Specialist,Service,Other services
Air Quality and Health Consultant,Service,Other services
Airport Security Analyst,"Logistics, transportation and communication",Other supportive transportation services
Passenger Service Supervisor,"Logistics, transportation and communication",Other supportive transportation services
Passenger Service Agent,"Logistics, transportation and communication",Other supportive transportation services
Airport Coordinator,"Logistics, transportation and communication",Other supportive transportation services
Air Ticket Agent,"Logistics, transportation and communication",Other supportive transportation services
Creative Graphics Designer,Service,Advertising
Air Traffic and Search and Rescue Inspector,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Licensing Specialist,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Manager,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Director,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Standards Specialist,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Inspector,"Logistics, transportation and communication",Other supportive transportation services
Air Transport Manager,"Logistics, transportation and communication",Other supportive transportation services
Air Transport Director,"Logistics, transportation and communication",Other supportive transportation services
Air Transport Specialist,"Logistics, transportation and communication",Other supportive transportation services
Aircraft Cargo Handling Supervisor,"Logistics, transportation and communication",Other supportive transportation services
Aircraft Launch and Recovery Officer,"Logistics, transportation and communication",Other supportive transportation services
Aircraft Mechanic,"Logistics, transportation and communication",Other supportive transportation services
Airworthiness Certification Director,"Logistics, transportation and communication",Other supportive transportation services
Airworthiness Certification Inspector,"Logistics, transportation and communication",Other supportive transportation services
Aircraft Service Attendant,"Logistics, transportation and communication",Other supportive transportation services
Aircraft Assembler,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Airfield Operations Specialist,"Logistics, transportation and communication",Other supportive transportation services
Airline Pilot,"Logistics, transportation and communication",Other scheduled land transport services
Airline Ticket Agent,Service,Other services
Airport Agent,"Logistics, transportation and communication",Other supportive transportation services
Airport Attendant,"Logistics, transportation and communication",Other supportive transportation services
Airport Fire Inspector,Service,Other services
Airport Wildlife Hazard Inspector,Service,Other services
Airspace Manager,"Logistics, transportation and communication",Other supportive transportation services
Airspace Designer,"Logistics, transportation and communication",Other supportive transportation services
Airtime Distribution Agent,Service,Other services
Airworthiness Engineer,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Album Art Illustrator,Tourism and art,Culture and Arts Education
Allergist,Health,Health
ATM Administrator,Service,Other services
Online Channel Administrator,ICT and digital work,Software Design Development and Implementation Works
Online Channels Engineer,ICT and digital work,Software Design Development and Implementation Works
Family Care Coordinator,Service,Social work services
Marketing Manager,Business,Wholesale business in specialized stores
Aluminium Foreman,Industry Development,Aluminum
Aluminium Technician,Industry Development,Aluminum
Aluminum Expert,Industry Development,Aluminum
Aluminum Engineer,Industry Development,Aluminum
Aluminum Machinery Technician,Industry Development,Aluminum
Aluminum Fabrication Manager,Industry Development,Aluminum
Aluminum Worker,Industry Development,Aluminum
Alumni Relations Coordinator,Service,Other services
Alumni Records Specialist,Service,Other services
Alumni Specialist,Service,Other services
Music Composer,Tourism and art,Culture and Arts Education
Lyricist,Tourism and art,Culture and Arts Education
Brand Ambassador,Service,Advertising
Sales Ambassador,Business,Wholesale business in specialized stores
Ambulance Driver and Attendant,Health,Health
Amharic Language Teacher,Education,other
News Producer and Audio Presenter,Service,Media programming
Text Writer and Photoshop Designer,Service,Advertising
Amusement and Recreation Attendant,Service,Other services
Craft Artist,Tourism and art,Culture craft
Analyst,Service,Other services
Analytical Equipment Technician,Service,Other services
Analytics Manager,Service,Other services
Translation Expert,Service,Other services
Heritage Custodian,Tourism and art,Culture
Library Service Worker,Service,Library and Archives Services
Mobile Application Developer,ICT and digital work,Software Design Development and Implementation Works
Android Developer,ICT and digital work,Software Design Development and Implementation Works
Android Designer,ICT and digital work,Software Design Development and Implementation Works
Anesthesia Professional,Health,Health
Anesthesiologist,Health,Health
Anesthetist,Health,Health
Angular Developer,ICT and digital work,Software Design Development and Implementation Works
Angular React Developer,ICT and digital work,Software Design Development and Implementation Works
Angular React Trainer,ICT and digital work,Information Communication Technology Training Service
Animal and Animal Product Worker,agriculture,Agriculture
Agricultural Extension Officer,agriculture,Agriculture
Investment Monitoring Officer,Service,Finance and Administration Services
Investment Support Officer,Service,Finance and Administration Services
Marketing Specialist,Business,Wholesale business in specialized stores
Resource Development Officer,Service,Other services
Animal Breed Supply Expert,agriculture,Animal Husbandry Development
Animal Breeder,agriculture,Animal Husbandry Development
Animal Breeding Operations Executive,agriculture,Animal Husbandry Development
Animal Breeding Supervisor,agriculture,Animal Husbandry Development
Industry Development Officer,Industry Development,Agro processing
Animal Caretaker,agriculture,Animal Husbandry Development
Animal Caretaker Coordinator,agriculture,Animal Husbandry Development
Animal Control Worker,agriculture,Animal Husbandry Development
Animal Development Expert,agriculture,Animal Husbandry Development
Animal Drug Registration Specialist,agriculture,Animal Husbandry Development
Animal Drug Quality Analyst,agriculture,Animal Husbandry Development
Quality Control Manager,Manufacturing,Another unmentioned factory works
Animal Drug Quality Assurance Specialist,agriculture,Animal Husbandry Development
Animal Drug Regulatory Specialist,agriculture,Animal Husbandry Development
Animal Feed Inspector,agriculture,Animal Husbandry Development
Animal Feed Registration Specialist,agriculture,Animal Husbandry Development
Agricultural Development Coordinator,agriculture,Agriculture
Animal Feed Control and Milk Distribution Worker,agriculture,Animal Husbandry Development
Animal Feed Formulation Technician,agriculture,Animal Husbandry Development
Animal Feed Specialist,agriculture,Animal Husbandry Development
Animal Feed Regulatory Specialist,agriculture,Animal Husbandry Development
Animal Feed Team Leader,agriculture,Animal Husbandry Development
Animal Feeder Technician,agriculture,Animal Husbandry Development
Animal Genetic Resources Specialist,agriculture,Animal Husbandry Development
Animal Health Specialist,agriculture,Animal Husbandry Development
Animal Health Laboratory Technician,agriculture,Animal Husbandry Development
Animal Health Laboratory Technologist,agriculture,Animal Husbandry Development
Animal Husbandry Worker,agriculture,Animal Husbandry Development
Animal Insemination Technician,agriculture,Animal Husbandry Development
Distribution Coordinator,"Logistics, transportation and communication",Freight Transportation
Animal Product Quality Analyst,agriculture,Animal Husbandry Development
Animal Product Quality Assurance Specialist,agriculture,Animal Husbandry Development
Animal Product Microbiology Analyst,agriculture,Animal Husbandry Development
Microbiology Laboratory Technician,Service,Laboratory test
Animal Product Testing Manager,agriculture,Animal Husbandry Development
Animal Production Foreman,agriculture,Animal Husbandry Development
Animal Regulatory Coordinator,agriculture,Animal Husbandry Development
Animal Scientist,agriculture,Animal Husbandry Development
Animal Slaughterer,Manufacturing,Production of meat and meat products; Preparation and keeping out
Animal Trainer,agriculture,Animal Husbandry Development
Animal Feed Plant Manager,Manufacturing,Manufacturing of prepared animal feed
Animal Feed Sales Representative,Business,Wholesale of other agricultural products
Animal Health Officer,Service,Agriculture and Livestock Services (with the exception of veterinary medicine)Livestock Breeding or artificial breeding
Animal Purchasing Officer,Business,Wholesale of other agricultural products
Animation Story Writer,Tourism and art,Filmmaking and related work
Vehicle Inspection Technician,Service,Vehicle Technical Inspection Service
Computational Fluid Dynamics Engineer,Service,Engineering Consulting Service
Ophthalmologist,Health,Health
Anthropologist and Archeologist,Service,Research and experimental development work on cultural and social life
Anthropology and Archeology Teacher (Postsecondary),Education,other
Compliance Officer,Service,Other services
Investigator,Service,Other services
Intelligence Analyst,Service,Other services
Editor,Service,Publishing and book services
Campaign Coordinator,Service,Advertising
Public Awareness Specialist,Service,Advertising
Anti-Doping Officer,Service,Other services
Antimicrobial Stewardship Advisor,Health,Health
Antivirus Vendor,ICT and digital work,Software Design Development and Implementation Works
Infographics Designer,Service,Advertising
Case Executive,Service,Other services
Accounts Payable Officer,Service,Accounting audit and adminstrative works
Accounts Payable Manager,Service,Accounting audit and adminstrative works
Apartment Administrator,Service,Estimating the cost of housing sales and collecting rental income
Apartment Manager,Service,Estimating the cost of housing sales and collecting rental income
API Developer,ICT and digital work,Software Design Development and Implementation Works
API Integration Specialist,ICT and digital work,Software Design Development and Implementation Works
Apiculture Officer,agriculture,Bee reading
Software Developer,ICT and digital work,Software Design Development and Implementation Works
App Designer,ICT and digital work,Software Design Development and Implementation Works
App Developer,ICT and digital work,Software Design Development and Implementation Works
Graphics Designer,Service,Advertising
Logo Designer,Service,Advertising
Video Creator,Tourism and art,Filmmaking and related work
Application Administrator,ICT and digital work,Software Design Development and Implementation Works
Application Developer,ICT and digital work,Software Design Development and Implementation Works
Application Development Team Leader,ICT and digital work,Software Design Development and Implementation Works
Application Development Instructor,ICT and digital work,Information Communication Technology Training Service
Application Officer,ICT and digital work,Software Design Development and Implementation Works
Application Project Manager,ICT and digital work,Software Design Development and Implementation Works
Application Specialist,ICT and digital work,Software Design Development and Implementation Works
Application Support Engineer,ICT and digital work,Software Design Development and Implementation Works
Application Tester,ICT and digital work,Software Design Development and Implementation Works
Applied Mathematics Instructor,Education,other
Mathematics Specialist,Education,other
Human Resources Officer,Service,Employment agencies and recruitment agencies
Human Resources Specialist,Service,Employment agencies and recruitment agencies
Human Resources Manager,Service,Employment agencies and recruitment agencies
Real Estate Appraiser,Service,Estimating the cost of housing sales and collecting rental income
Personal Property Appraiser,Service,Other services
Research Analyst,Service,Research and Experimental Development Works on Economics and Development
Assessment Consultant,Service,Consulting service around social science
Aquaculture Specialist,agriculture,Fish breeding related development jobs
Aquatic Biologist,Service,Research and experimental development activities in agriculture and animal husbandry
Drafter,Service,Engineering Consulting Service
Arabic and English Instructor,Education,other
Content Creator,Service,Advertising
Audio Recording Engineer,Tourism and art,Filmmaking and related work
Librarian,Service,Library and Archives Services
Arabic Language Instructor,Education,other
Arabic Language Specialist,Education,other
Writer,Service,Publishing and book services
Arbitrator,Service,Other services
GIS Specialist,Service,Geo-Spatial / Earth Information / Service
Field Engineer,Service,Engineering Consulting Service
Archaeologist,Service,Research and experimental development work on cultural and social life
Architect,Service,Architecture Construction and Related Consultations
Architect and Interior Designer,Service,Architecture Construction and Related Consultations
3D Designer,Service,Advertising
Architectural Drafter,Service,Architecture Construction and Related Consultations
Urban Planner,Service,Architecture Construction and Related Consultations
Architectural Designer,Service,Architecture Construction and Related Consultations
Interior Designer,Service,Decoration works
Civil Engineer,Service,Engineering Consulting Service
Furniture Designer,Manufacturing,Manufacture of home and office furniture
Model Maker,Manufacturing,Another unmentioned factory works
Architectural and Engineering Manager,Service,Engineering Consulting Service
CAD Technician,Service,Engineering Consulting Service
Architectural Design Manager,Service,Architecture Construction and Related Consultations
Architectural Engineer,Service,Architecture Construction and Related Consultations
Architectural Visualization Specialist,Service,Architecture Construction and Related Consultations
Architectural Software Instructor,Education,other
Television Show Host,Tourism and art,Filmmaking and related work
Architecture Professor,Education,other
Archive Assistant,Service,Library and Archives Services
Archive Clerk,Service,Library and Archives Services
Archivist,Service,Library and Archives Services
Embedded Systems Engineer,ICT and digital work,Software Design Development and Implementation Works
Software Engineer,ICT and digital work,Software Design Development and Implementation Works
Area Coordinator,Service,Other services
Legal Coordinator,Service,Other services
Logistics Supervisor,"Logistics, transportation and communication",Other supportive transportation services
Sales Manager,Business,Wholesale business in specialized stores
Sales Officer,Business,Wholesale business in specialized stores
Sales Representative,Business,Wholesale business in specialized stores
Sales Supervisor,Business,Wholesale business in specialized stores
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education,other
Armored Assault Vehicle Crew Members,Industry Development,Defense
Armored Assault Vehicle Officers,Industry Development,Defense
Art Development Executive,Tourism and art,Culture and Arts Education
Art and Music Teacher,Education,other
Art Conservation Technician,Service,Other services
Art Director,Tourism and art,Culture and Arts Education
Art Teacher,Education,other
Art Therapist,Health,Health
"Art, Drama, and Music Teachers, Postsecondary",Education,other
Arthroplasty Surgeon,Health,Health
Article Reviewer,Service,Other services
Article Writer,Service,Other services
Artificial Insemination Advisor,agriculture,Agriculture
Artificial Intelligence Specialist,ICT and digital work,Software Design Development and Implementation Works
Artillery Crew Members,Industry Development,Defense
Artillery Officer,Industry Development,Defense
Miner,Mining and Quarrying,Mining works
Artist,Tourism and art,Culture and Arts Education
Fitness Instructor,Service,Sports Services
Arts Education Trainer,Tourism and art,Culture and Arts Education
Certification Specialist,Service,Professional certification
Capacity Building Specialist,Service,Other services
Arts Promotion Specialist,Tourism and art,Culture and Arts Education
Asphalt Distributor Operator,Construction,Road Contractor
Asphalt Foreman,Construction,Road Contractor
Asphalt Milling Machine Operator,Construction,Road Contractor
Asphalt Plant Supervisor,Construction,Road Contractor
Electrician,Construction,Electrical Works Contractor
Asphalt Plant Manager,Construction,Road Contractor
Asphalt Plant Mechanic,Construction,Road Contractor
Asphalt Plant Operator,Construction,Road Contractor
Asphalt Roller Operator,Construction,Road Contractor
Fashion Designer,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing
Sports Journalist,Sport Culture and tourism,Journalism
Assembler,Manufacturing,Another unmentioned factory works
Assembly Technician,Manufacturing,Another unmentioned factory works
Assessment Coordinator,Service,Other services
Assessment Officer,Service,Other services
Data Analyst,ICT and digital work,Database organization and data processing
Assessment Specialist,Service,Other services
Assessor,Service,Other services
Facility Management Officer,Service,Other services
Resource Manager,Service,Other services
Maintenance Engineer,Service,General maintenance
Risk Management Officer,Service,Finance and Administration Services
Asset Manager,Service,Finance and Administration Services
Asset Valuation Analyst,Service,Finance and Administration Services
Asset Valuation Specialist,Service,Finance and Administration Services
Asset Valuation Officer,Service,Finance and Administration Services
Assistant Farm Manager,agriculture,Agriculture
Assistant,Service,Other services
Assistant Agent,Service,Other services
Social Media Manager,Service,Advertising
Event Planner,Service,Special event coordination
Assistant Manager,Service,Other services
Executive Assistant,Service,Other services
Business Process Analyst,Service,Business Promotion Service
ERP Functional Consultant,ICT and digital work,Software Design Development and Implementation Works
Procurement Specialist,Service,Logistics Supply and Support Services (outside of other business sectors)
Learning and Development Specialist,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Astronomer,Service,Research and experimental development work in engineering and technology
System Administrator,ICT and digital work,Database organization and data processing
Anti-Doping Specialist,Sport Culture and tourism,Sport
Athlete Development Coordinator,Sport Culture and tourism,Sport
Athlete Development Specialist,Sport Culture and tourism,Sport
Athlete,Sport Culture and tourism,Sport
Athletic Trainer,Sport Culture and tourism,Sport
Atmospheric Scientist,Service,Research and experimental development work in engineering and technology
Postsecondary Teacher,Education,other
Attendant,Service,Other services
Attorney,Service,Other services
Corporate Attorney,Service,Other services
Corporate Counsel,Service,Other services
Attorney General,Service,Other services
Litigation Attorney,Service,Other services
Legal Advisor,Service,Other services
Paralegal,Service,Other services
Auction Specialist,Business,Retail trade in specialized stores
Audience Development Specialist,Service,Advertising
Customer Service Executive,Service,Other services
Audio Advertising Specialist,Service,Advertising
Audio and Video Technician,Service,Media programming
Audiovisual Technician,Service,Media programming
Narrator,Tourism and art,Culture and Arts Education
Audio Editor,Service,Media programming
Audio Engineer Technician,Service,Media programming
Audio Narrator,Tourism and art,Culture and Arts Education
Audio Production Technician,Service,Media programming
Audio Recording and Editing Technician,Service,Media programming
